"","Site_ID","Year","Plant_genus","Plant_species","Plant.ID","Fruit.nÂº","Fruit.weight2","Seeds2","Seed.weight","Notes"
"1","Niebla",2015,"Cistus","monspeliensis","A1","a",0.01003,2,0.00164,NA
"2","Niebla",2015,"Cistus","monspeliensis","A2","a",0.0173,0,0,"Predado"
"3","Niebla",2015,"Cistus","monspeliensis","A2","b",0.0358,7,0.00702,NA
"4","Niebla",2015,"Cistus","monspeliensis","A2","c",0.03616,6,0.00661,NA
"5","Niebla",2015,"Cistus","crispus","A1","a",0.01689,0,0,"Predado"
"6","Niebla",2015,"Cistus","crispus","A1","b",0.03607,30,0.01269,NA
"7","Niebla",2015,"Cistus","crispus","A2","a",0.09767,47,0.02463,NA
"8","Niebla",2015,"Cistus","crispus","A2","b",0.05224,31,0.01591,NA
"9","Niebla",2015,"Cistus","crispus","A3","a",0.02037,0,0,"Predado"
"10","Niebla",2015,"Cistus","crispus","A3","b",0.02406,21,0.00725,NA
"11","Niebla",2015,"Cistus","crispus","B2","a",0.06394,44,0.01867,NA
"12","Niebla",2015,"Cistus","crispus","B2","b",0.05997,35,0.01363,NA
"13","Niebla",2015,"Cistus","crispus","B3","a",0.05822,35,0.01469,NA
"14","Niebla",2015,"Cistus","crispus","B3","b",0.05324,35,0.0151,NA
"15","Niebla",2015,"Asphodelus","fistulosus","A1","a",0.07489,5,0.02954,"1 aborto"
"16","Niebla",2015,"Asphodelus","fistulosus","A1","b",0.07043,3,0.00611,"3 abortos"
"17","Niebla",2015,"Asphodelus","fistulosus","A1","b",0.07043,3,0.01236,NA
"18","Niebla",2015,"Asphodelus","fistulosus","A1","c",0.07092,3,0.0129,"3 predados"
"19","Niebla",2015,"Asphodelus","fistulosus","A1","c",0.07092,3,0.02533,NA
"20","Niebla",2015,"Asphodelus","fistulosus","A2","a",0.089,3,0.01254,"3 predados"
"21","Niebla",2015,"Asphodelus","fistulosus","A2","a",0.089,3,0.02507,NA
"22","Niebla",2015,"Asphodelus","fistulosus","A2","b",0.10173,4,0.01397,"2 abortos"
"23","Niebla",2015,"Asphodelus","fistulosus","A2","b",0.10173,4,0.042,NA
"24","Niebla",2015,"Asphodelus","fistulosus","A3","a",0.08715,1,0.0344,NA
"25","Niebla",2015,"Asphodelus","fistulosus","A3","b",0.08618,1,0.03422,"1 aborto"
"26","Niebla",2015,"Asphodelus","fistulosus","B1","a",0.0729,6,0.03302,NA
"27","Niebla",2015,"Asphodelus","fistulosus","B1","b",0.08012,5,0.03903,NA
"28","Niebla",2015,"Asphodelus","fistulosus","B1","c",0.06977,5,0.02455,NA
"29","Niebla",2015,"Asphodelus","fistulosus","B2","a",0.05199,3,0.0265,NA
"30","Niebla",2015,"Asphodelus","fistulosus","B2","b",0.04352,0,0,"Predado"
"31","Niebla",2015,"Asphodelus","fistulosus","B2","c",0.07256,0,0,"Predado"
"32","Niebla",2015,"Asphodelus","fistulosus","B3","a",0.074,4,0.01013,"2 abortos"
"33","Niebla",2015,"Asphodelus","fistulosus","B3","a",0.074,4,0.12014,NA
"34","Niebla",2015,"Cistus","ladanifer","B1","a",0.21762,179,0.05577,NA
"35","Niebla",2015,"Cistus","ladanifer","C2","a",0.6322,733,0.22324,NA
"36","Niebla",2015,"Phlomis","purpurea","A1","a",0.0289,2,0.00376,"2 abortos"
"37","Niebla",2015,"Phlomis","purpurea","A1","a",0.0289,2,0.003901,NA
"38","Niebla",2015,"Phlomis","purpurea","A1","b",0.0266,0,0,"4 abortos"
"39","Niebla",2015,"Phlomis","purpurea","A1","c",0.04083,2,0.00394,"1 aborto"
"40","Niebla",2015,"Phlomis","purpurea","A1","c",0.04083,2,0.00387,NA
"41","Niebla",2015,"Phlomis","purpurea","A2","a",0.03296,2,0.00414,"2 abortos"
"42","Niebla",2015,"Phlomis","purpurea","A2","a",0.03296,2,0.00407,NA
"43","Niebla",2015,"Phlomis","purpurea","A2","b",0.03257,2,0.00482,"2 abortos"
"44","Niebla",2015,"Phlomis","purpurea","A2","b",0.03257,2,0.00485,NA
"45","Niebla",2015,"Phlomis","purpurea","A3","a",0.04129,2,0.00492,"2 abortos"
"46","Niebla",2015,"Phlomis","purpurea","A3","a",0.04129,2,0.00502,NA
"47","Niebla",2015,"Phlomis","purpurea","A3","b",0.03942,2,0.00446,"2 abortos"
"48","Niebla",2015,"Phlomis","purpurea","A3","b",0.03942,2,0.00433,NA
"49","Niebla",2015,"Phlomis","purpurea","B1","a",0.02791,3,0.00378,"1 aborto"
"50","Niebla",2015,"Phlomis","purpurea","B1","a",0.02791,3,0.00735,NA
"51","Niebla",2015,"Phlomis","purpurea","B1","b",0.03079,2,0.00404,"2 abortos"
"52","Niebla",2015,"Phlomis","purpurea","B1","b",0.03079,2,0.00409,NA
"53","Niebla",2015,"Phlomis","purpurea","B2","a",0.03244,3,0.00336,"1 aborto"
"54","Niebla",2015,"Phlomis","purpurea","B2","a",0.03244,3,0.00633,NA
"55","Niebla",2015,"Phlomis","purpurea","B2","b",0.03024,2,0.00377,"2 abortos"
"56","Niebla",2015,"Phlomis","purpurea","B2","b",0.03024,2,0.00371,NA
"57","Niebla",2015,"Phlomis","purpurea","B3","a",0.0269,2,0.0034,"2 abortos"
"58","Niebla",2015,"Phlomis","purpurea","B3","a",0.0269,2,0.00343,NA
"59","Niebla",2015,"Lavandula","pedunculata","B1","a",0.0032,2,0.00081,"1 aborto"
"60","Niebla",2015,"Lavandula","pedunculata","B1","a",0.0032,2,0.00075,NA
"61","Niebla",2015,"Lavandula","pedunculata","B1","b",0.003891,2,0.00161,NA
"62","Niebla",2015,"Lavandula","pedunculata","B1","c",0.003981,2,0.00137,NA
"63","Niebla",2015,"Lavandula","pedunculata","B2","a",0.00195,2,0.00091,NA
"64","Niebla",2015,"Lavandula","pedunculata","B2","b",0.00183,2,0.00081,NA
"65","Niebla",2015,"Lavandula","pedunculata","B3","a",0.00452,2,0.00108,"1 aborto"
"66","Niebla",2015,"Lavandula","pedunculata","B3","a",0.00452,2,0.00099,NA
"67","Niebla",2015,"Lavandula","pedunculata","C1","a",0.00431,2,0.00175,NA
"68","Niebla",2015,"Lavandula","pedunculata","C1","b",0.00356,0,0,"Predado"
"69","Niebla",2015,"Lavandula","pedunculata","C1","c",0.00275,1,0.00102,NA
"70","Niebla",2015,"Lavandula","pedunculata","C2","a",0.00341,2,0.00137,NA
"71","Niebla",2015,"Lavandula","pedunculata","C3","a",0.00575,2,0.00181,NA
"72","Niebla",2015,"Lavandula","pedunculata","C3","b",0.00235,1,0.00033,NA
"73","Niebla",2015,"Lavandula","pedunculata","C3","c",0.0029,1,0.00081,NA
"74","Bonares",2015,"Ulex","australis","A1","a",0.07971,4,0.01665,NA
"75","Bonares",2015,"Ulex","australis","A2","a",0.04031,1,0.00546,"4 abortos"
"76","Bonares",2015,"Ulex","australis","A2","b",0.08129,3,0.00513,"2 abortos"
"77","Bonares",2015,"Ulex","australis","A2","b",0.08129,3,0.01035,NA
"78","Bonares",2015,"Ulex","australis","A2","c",0.11062,6,0.02879,NA
"79","Bonares",2015,"Ulex","australis","A2","d",0.052,3,0.00421,"3 abortos"
"80","Bonares",2015,"Ulex","australis","A2","d",0.052,3,0.00863,NA
"81","Bonares",2015,"Ulex","australis","B1","a",0.04726,2,0.00513,"1 aborto"
"82","Bonares",2015,"Ulex","australis","B1","a",0.04726,2,0.0052,NA
"83","Bonares",2015,"Ulex","australis","B2","a",0.03954,2,0.01085,NA
"84","Bonares",2015,"Ulex","australis","B2","b",0.12677,9,0.04026,NA
"85","Bonares",2015,"Ulex","australis","C1","a",0.05356,3,0.01714,NA
"86","Bonares",2015,"Ulex","australis","C1","b",0.04263,1,0.00359,"4 abortos"
"87","Bonares",2015,"Ulex","australis","C1","c",0.10433,6,0.02529,"2 abortos"
"88","Bonares",2015,"Ulex","australis","C1","d",0.09671,3,0.00591,"3 abortos"
"89","Bonares",2015,"Ulex","australis","C1","d",0.09671,3,0.01185,NA
"90","Bonares",2015,"Ulex","australis","C2","a",0.08742,1,0.00518,"5 abortos"
"91","Bonares",2015,"Ulex","australis","C2","b",0.10235,4,0.00643,"1 aborto"
"92","Bonares",2015,"Ulex","australis","C2","b",0.10235,4,0.01887,NA
"93","Bonares",2015,"Ulex","australis","C2","c",0.07333,3,0.00502,"1 aborto"
"94","Bonares",2015,"Ulex","australis","C2","c",0.07333,3,0.01022,NA
"95","Bonares",2015,"Cistus","salvifolius","A1","a",0.11243,61,0.07319,NA
"96","Bonares",2015,"Cistus","salvifolius","A2","a",0.11954,59,0.07215,NA
"97","Bonares",2015,"Cistus","salvifolius","A3","a",0.12599,60,0.07077,NA
"98","Bonares",2015,"Cistus","salvifolius","B1","a",0.02917,16,0.01416,NA
"99","Bonares",2015,"Cistus","salvifolius","B1","b",0.05028,45,0.02267,NA
"100","Bonares",2015,"Cistus","salvifolius","B2","a",0.06927,42,0.0359,NA
"101","Bonares",2015,"Cistus","salvifolius","B3","a",0.09864,56,0.06162,NA
"102","Bonares",2015,"Cistus","salvifolius","B3","b",0.05402,44,0.03507,NA
"103","Bonares",2015,"Cistus","salvifolius","C1","a",0.07714,52,0.04513,NA
"104","Bonares",2015,"Cistus","salvifolius","C1","b",0.09173,46,0.03969,NA
"105","Bonares",2015,"Cistus","salvifolius","C2","a",0.09222,53,0.04728,NA
"106","Bonares",2015,"Cistus","salvifolius","C2","b",0.07198,45,0.04316,NA
"107","Bonares",2015,"Cistus","salvifolius","C3","a",0.09969,69,0.0608,NA
"108","Bonares",2015,"Cistus","salvifolius","C3","b",0.15245,81,0.0948,NA
"109","Bonares",2015,"Cistus","crispus","A1","a",0.08592,28,0.01194,NA
"110","Bonares",2015,"Cistus","crispus","A1","b",0.0846,31,0.01794,NA
"111","Bonares",2015,"Cistus","crispus","A1","c",0.02889,0,0,"Predado"
"112","Bonares",2015,"Cistus","crispus","A2","a",0.0738,18,0.01229,NA
"113","Bonares",2015,"Cistus","crispus","A2","b",0.07844,28,0.01655,NA
"114","Bonares",2015,"Cistus","crispus","A3","a",0.07636,30,0.01787,NA
"115","Bonares",2015,"Cistus","crispus","B1","a",0.04585,0,0,"Predado"
"116","Bonares",2015,"Cistus","crispus","B1","b",0.0659,27,0.01245,NA
"117","Bonares",2015,"Cistus","crispus","B2","a",0.02763,4,0.00044,NA
"118","Bonares",2015,"Cistus","crispus","B2","a",0.02763,24,0.00042,NA
"119","Bonares",2015,"Cistus","crispus","B2","a",0.02763,30,0.00039,NA
"120","Bonares",2015,"Cistus","crispus","B2","a",0.02763,32,0.00046,NA
"121","Bonares",2015,"Cistus","crispus","B2","b",0.06885,24,0.01315,NA
"122","Bonares",2015,"Cistus","crispus","B3","a",0.0477,30,0.01355,NA
"123","Bonares",2015,"Cistus","crispus","B3","b",0.04815,32,0.01425,NA
"124","Bonares",2015,"Cistus","ladanifer","A1","a",0.2886,386,0.10743,NA
"125","Bonares",2015,"Cistus","ladanifer","A1","b",0.15866,95,0.02438,NA
"126","Bonares",2015,"Cistus","ladanifer","A2","a",0.3134,382,0.10677,NA
"127","Bonares",2015,"Cistus","ladanifer","B1","a",0.26471,161,0.05361,NA
"128","Bonares",2015,"Cistus","ladanifer","B1","b",0.36833,210,0.0642,NA
"129","Bonares",2015,"Cistus","ladanifer","B2","a",0.22336,146,0.0321,NA
"130","Bonares",2015,"Cistus","ladanifer","B3","a",0.26131,335,0.05391,NA
"131","Bonares",2015,"Cistus","ladanifer","C1","a",0.23415,249,0.0632,NA
"132","Bonares",2015,"Cistus","ladanifer","C3","a",0.24824,220,0.05869,NA
"133","Bonares",2015,"Cistus","ladanifer","C3","b",0.23587,340,0.07422,NA
"134","Bonares",2015,"Cistus","ladanifer","D1","a",0.21013,274,0.07233,NA
"135","Bonares",2015,"Cistus","ladanifer","D2","a",0.1739,261,0.0684,NA
"136","Bonares",2015,"Lavandula","stoechas","A1","a",0.00276,1,0.00069,"1 aborto"
"137","Bonares",2015,"Lavandula","stoechas","A1","b",0.0035,2,0.00029,"1 aborto"
"138","Bonares",2015,"Lavandula","stoechas","A1","b",0.0035,2,0.00036,NA
"139","Bonares",2015,"Lavandula","stoechas","A2","a",0.00422,2,0.00079,"2 abortos"
"140","Bonares",2015,"Lavandula","stoechas","A2","a",0.00422,2,0.00082,NA
"141","Bonares",2015,"Lavandula","stoechas","A2","b",0.00391,2,0.00074,"1 aborto"
"142","Bonares",2015,"Lavandula","stoechas","A2","b",0.00391,2,0.00071,NA
"143","Bonares",2015,"Lavandula","stoechas","A3","a",0.00361,2,0.00068,"2 abortos"
"144","Bonares",2015,"Lavandula","stoechas","A3","a",0.00361,2,0.00066,NA
"145","Bonares",2015,"Lavandula","stoechas","B1","a",0.00249,2,0.00059,"1 aborto"
"146","Bonares",2015,"Lavandula","stoechas","B1","a",0.00249,2,0.00052,NA
"147","Bonares",2015,"Lavandula","stoechas","B1","b",0.00353,3,0.0022,NA
"148","Bonares",2015,"Lavandula","stoechas","B2","a",0.00285,1,0.00069,"2 abortos"
"149","Bonares",2015,"Lavandula","stoechas","B2","b",0.00428,2,7e-04,"2 abortos"
"150","Bonares",2015,"Lavandula","stoechas","B2","b",0.00428,2,0.00079,NA
"151","Bonares",2015,"Lavandula","stoechas","B3","a",0.06321,4,0.00265,NA
"152","Bonares",2015,"Lavandula","stoechas","C1","a",0.00208,1,0.00063,"2 abortos"
"153","Bonares",2015,"Lavandula","stoechas","C1","b",0.00431,3,0.00071,"1 aborto"
"154","Bonares",2015,"Lavandula","stoechas","C1","b",0.00431,3,0.00134,NA
"155","Bonares",2015,"Lavandula","stoechas","C2","a",0.00429,3,0.00204,NA
"156","Bonares",2015,"Lavandula","stoechas","C2","b",0.00375,3,0.00136,NA
"157","Bonares",2015,"Lavandula","stoechas","C3","a",0.0039,3,4e-04,"1 aborto"
"158","Bonares",2015,"Lavandula","stoechas","C3","a",0.0039,3,0.00069,NA
"159","LaRocina",2015,"Halimium","commutatum","A1","a",0.03664,3,0.01053,NA
"160","LaRocina",2015,"Halimium","commutatum","A1","b",0.0317,3,0.01118,NA
"161","LaRocina",2015,"Halimium","commutatum","A1","c",0.02024,2,0.00677,NA
"162","LaRocina",2015,"Halimium","commutatum","A2","a",0.02174,0,0,"Predado"
"163","LaRocina",2015,"Halimium","commutatum","A3","a",0.02057,0,0,"Predado"
"164","LaRocina",2015,"Halimium","commutatum","A3","b",0.00974,0,0,"Predado"
"165","LaRocina",2015,"Anchusa","azurea","A1","a",0.00987,1,0.00292,NA
"166","LaRocina",2015,"Anchusa","azurea","A1","b",0.0127,4,0.00498,NA
"167","LaRocina",2015,"Anchusa","azurea","A2","a",0.01901,3,0.00976,NA
"168","LaRocina",2015,"Anchusa","azurea","A2","b",0.01428,2,0.00685,NA
"169","LaRocina",2015,"Anchusa","azurea","A3","a",0.00951,3,0.00658,NA
"170","LaRocina",2015,"Anchusa","azurea","B1","a",0.01385,2,0.00318,"1 aborto"
"171","LaRocina",2015,"Anchusa","azurea","B1","a",0.01385,2,0.00323,NA
"172","LaRocina",2015,"Anchusa","azurea","B1","b",0.01621,2,0.00294,"2 abortos"
"173","LaRocina",2015,"Anchusa","azurea","B1","b",0.01621,2,0.00292,NA
"174","LaRocina",2015,"Anchusa","azurea","B1","c",0.01314,2,0.00639,NA
"175","LaRocina",2015,"Halimium","halimifolium","A1","a",0.03011,3,0.0823,NA
"176","LaRocina",2015,"Rosmarinus","officinalis","A1","a",0.00329,2,0.00067,"2 abortos"
"177","LaRocina",2015,"Rosmarinus","officinalis","A1","a",0.00329,2,0.00061,NA
"178","LaRocina",2015,"Rosmarinus","officinalis","A1","b",0.00265,2,0.00046,"2 abortos"
"179","LaRocina",2015,"Rosmarinus","officinalis","A1","b",0.00265,2,0.00062,NA
"180","LaRocina",2015,"Rosmarinus","officinalis","A1","c",0.0029,2,0.00059,"2 abortos"
"181","LaRocina",2015,"Rosmarinus","officinalis","A1","c",0.0029,2,0.00056,NA
"182","LaRocina",2015,"Rosmarinus","officinalis","A1","d",0.00356,2,0.00076,"2 abortos"
"183","LaRocina",2015,"Rosmarinus","officinalis","A1","d",0.00356,2,0.00085,NA
"184","LaRocina",2015,"Spartium","junceum","B1","a",0.12732,3,0.00615,"3 abortos"
"185","LaRocina",2015,"Spartium","junceum","B1","a",0.12732,3,0.01243,NA
"186","LaRocina",2015,"Spartium","junceum","B1","b",0.19977,1,0.02859,"8 abortos"
"187","LaRocina",2015,"Spartium","junceum","B1","c",0.04678,0,0,"Predado"
"188","LaRocina",2015,"Spartium","junceum","B1","d",0.05883,0,0,"Predado"
"189","LaRocina",2015,"Spartium","junceum","B2","a",0.21151,4,0.00546,"7 abortos"
"190","LaRocina",2015,"Spartium","junceum","B2","a",0.21151,4,0.01497,NA
"191","LaRocina",2015,"Spartium","junceum","B2","b",0.08391,1,0.003,"9 abortos"
"192","LaRocina",2015,"Spartium","junceum","B3","a",0.14132,2,0.00569,"5 abortos"
"193","LaRocina",2015,"Spartium","junceum","B3","a",0.14132,2,0.00587,NA
"194","Pinodelcuervo",2015,"Cistus","crispus","A1","a",0.0608,1,0.00047,NA
"195","Pinodelcuervo",2015,"Cistus","crispus","A1","b",0.03925,7,0.00428,NA
"196","Pinodelcuervo",2015,"Cistus","crispus","A1","c",0.02691,0,0,"Predado"
"197","Pinodelcuervo",2015,"Cistus","crispus","A1","d",0.03272,0,0,"Predado"
"198","Pinodelcuervo",2015,"Cistus","crispus","A2","a",0.05274,10,0.00508,NA
"199","Pinodelcuervo",2015,"Cistus","crispus","A2","b",0.05793,18,0.00885,NA
"200","Pinodelcuervo",2015,"Cistus","crispus","A2","c",0.05576,22,0.01082,NA
"201","Pinodelcuervo",2015,"Cistus","crispus","A3","a",0.06271,15,0.00762,NA
"202","Pinodelcuervo",2015,"Cistus","crispus","A3","b",0.01575,0,0,"Predado"
"203","Pinodelcuervo",2015,"Cistus","crispus","B1","a",0.04427,0,0,"Predado"
"204","Pinodelcuervo",2015,"Cistus","crispus","B1","b",0.04775,0,0,"Predado"
"205","Pinodelcuervo",2015,"Cistus","crispus","B1","c",0.04858,0,0,"Predado"
"206","Pinodelcuervo",2015,"Cistus","crispus","B2","a",0.08037,51,0.02243,NA
"207","Pinodelcuervo",2015,"Cistus","crispus","B2","b",0.05837,32,0.01213,NA
"208","Pinodelcuervo",2015,"Cistus","crispus","B2","c",0.06073,34,0.0136,NA
"209","Pinodelcuervo",2015,"Cistus","crispus","B3","a",0.07729,42,0.01973,NA
"210","Pinodelcuervo",2015,"Cistus","crispus","B3","b",0.07089,38,0.01127,NA
"211","Pinodelcuervo",2015,"Cistus","crispus","C1","a",0.00559,2,0.00285,NA
"212","Pinodelcuervo",2015,"Rosmarinus","officinalis","A1","a",0.00445,3,0.00126,"1 aborto"
"213","Pinodelcuervo",2015,"Rosmarinus","officinalis","A1","a",0.00445,3,0.00235,NA
"214","Pinodelcuervo",2015,"Rosmarinus","officinalis","A1","b",0.00389,2,0.00066,"2 abortos"
"215","Pinodelcuervo",2015,"Rosmarinus","officinalis","A1","b",0.00389,2,0.00059,NA
"216","Pinodelcuervo",2015,"Rosmarinus","officinalis","A3","a",0.00249,2,0.00048,"2 abortos"
"217","Pinodelcuervo",2015,"Rosmarinus","officinalis","A3","a",0.00249,2,0.00041,NA
"218","Pinodelcuervo",2015,"Rosmarinus","officinalis","A3","b",0.00428,2,0.00074,"2 abortos"
"219","Pinodelcuervo",2015,"Rosmarinus","officinalis","A3","b",0.00428,2,0.00069,NA
"220","Pinodelcuervo",2015,"Rosmarinus","officinalis","B1","a",0.00504,4,0.00341,NA
"221","Pinodelcuervo",2015,"Rosmarinus","officinalis","B3","a",0.00396,2,0.00217,"2 abortos"
"222","Pinodelcuervo",2015,"Rosmarinus","officinalis","B3","a",0.00396,2,0.00231,NA
"223","Pinodelcuervo",2015,"Halimium","commutatum","A3","a",0.03502,4,0.01457,NA
"224","Pinodelcuervo",2015,"Halimium","commutatum","B1","a",0.03405,4,0.01647,NA
"225","Pinodelcuervo",2015,"Halimium","commutatum","B2","a",0.03668,4,0.01432,NA
"226","Pinodelcuervo",2015,"Halimium","commutatum","B2","b",0.03377,4,0.01392,NA
"227","Pinodelcuervo",2015,"Halimium","commutatum","B3","a",0.02322,4,0.00325,"3 abortos"
"228","Pinodelcuervo",2015,"Halimium","commutatum","B3","b",0.03745,4,0.01572,NA
"229","Pinodelcuervo",2015,"Halimium","commutatum","B3","c",0.0185,0,0,"4 abortos"
"230","Pinodelcuervo",2015,"Asphodelus","fistulosus","A1","a",0.03901,6,0.01547,NA
"231","Pinodelcuervo",2015,"Asphodelus","fistulosus","A1","b",0.002853,6,0.014321,NA
"232","Pinodelcuervo",2015,"Asphodelus","fistulosus","A1","c",0.04116,6,0.013876,NA
"233","Pinodelcuervo",2015,"Asphodelus","fistulosus","A3","a",0.03461,6,0,"Predado"
"234","Pinodelcuervo",2015,"Asphodelus","fistulosus","A3","b",0.04225,6,0.017543,NA
"235","Pinodelcuervo",2015,"Asphodelus","fistulosus","A3","c",0.04292,6,0.012389,NA
"236","Pinodelcuervo",2015,"Asphodelus","fistulosus","A3","d",0.0431,6,0.010617,NA
"237","Pinodelcuervo",2015,"Asphodelus","fistulosus","B2","a",0.02021,6,0,"Predado"
"238","Pinodelcuervo",2015,"Asphodelus","fistulosus","B3","a",0.03068,6,0,"Predado"
"239","Pinodelcuervo",2015,"Asphodelus","fistulosus","B3","b",0.03116,6,0,"Predado"
"240","Pinodelcuervo",2015,"Ulex","australis","B1","a",0.01374,1,0.00369,NA
"241","Pinodelcuervo",2015,"Ulex","australis","B1","b",0.02333,1,0,"Predado"
"242","Pinodelcuervo",2015,"Ulex","australis","B2","a",0.02616,1,0.00188,NA
"243","Pinodelcuervo",2015,"Ulex","australis","B3","a",0.03331,1,0.00095,NA
"244","Pinodelcuervo",2015,"Ulex","australis","B3","b",0.03252,1,0.00304,NA
"245","Pinodelcuervo",2015,"Cistus","ladanifer","A2","a",0.3004,70,0.0179,NA
"246","Pinodelcuervo",2015,"Cistus","ladanifer","A2","b",1.23983,340,0.11452,NA
"247","Pinodelcuervo",2015,"Cistus","ladanifer","A2","c",0.5411,510,0.16189,NA
"248","Pinodelcuervo",2015,"Cistus","ladanifer","A3","a",0.47979,451,0.15102,NA
"249","Pinodelcuervo",2015,"Cistus","ladanifer","A3","b",0.3713,370,0.12589,NA
"250","Pinodelcuervo",2015,"Cistus","ladanifer","B1","a",0.40282,290,0.08957,NA
"251","Pinodelcuervo",2015,"Cistus","ladanifer","B2","a",0.46428,412,0.12335,NA
"252","Pinodelcuervo",2015,"Cistus","ladanifer","B3","a",0.54668,380,0.18039,NA
"253","Pinodelcuervo",2015,"Cistus","ladanifer","C1","a",0.34261,248,0.11056,NA
"254","Pinodelcuervo",2015,"Cistus","ladanifer","C1","b",0.36615,368,0.11711,NA
